"","module","module_description"
"385","M00878","Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA"
"386","M00879","Arginine succinyltransferase pathway, arginine => glutamate"
"387","M00880","Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor"
"388","M00881","Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H"
"389","M00882","Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H"
"390","M00883","Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2"
"391","M00884","Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2"
"392","M00885","Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)"
"393","M00886","Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)"
"394","M00887","Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM"
"395","M00888","Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5"
"396","M00889","Puromycin biosynthesis, ATP => puromycin"
"397","M00890","Roseoflavin biosynthesis, FMN => roseoflavin"
"398","M00891","Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline"
"399","M00892","UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc"
"400","M00893","Lovastatin biosynthesis, malonyl-CoA => lovastatin acid"
"401","M00894","Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol"
"402","M00895","Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP"
"403","M00896","Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP"
"404","M00897","Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP"
"405","M00898","Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP"
"406","M00899","Thiamine salvage pathway, HMP/HET => TMP"
"407","M00900","Crocin biosynthesis, crocetin => crocin"
"408","M00901","Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline"
"409","M00902","Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin"
"410","M00903","Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin"
"411","M00904","Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C"
"412","M00905","Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B"
"413","M00906","Ethynylserine biosynthesis, lysine => ethynylserine"
"414","M00909","UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc"
"415","M00910","Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine"
"416","M00911","Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD"
"417","M00912","NAD biosynthesis, tryptophan => quinolinate => NAD"
"418","M00913","Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate"
"419","M00914","Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA"
"420","M00915","Caffeine degradation, caffeine => xanthine"
"421","M00916","Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P"
"422","M00917","Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol"
"423","M00918","Aerobactin biosynthesis, lysine => aerobactin"
"424","M00919","Ectoine degradation, ectoine => aspartate"
"425","M00921","Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin"
"426","M00922","CMP-Neu5Ac biosynthesis, UDP-GlcNAc => CMP-Neu5Ac"
"427","M00923","UDP-L-FucNAm biosynthesis, UDP-GlcNAc => UDP-L-FucNAm"
"428","M00924","Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide"
"429","M00925","Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide"
"430","M00926","Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
"431","M00927","Gibberellin A12 biosynthesis, GAPP => GA12"
"432","M00928","Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1"
"433","M00929","Gibberellin A1 biosynthesis, GGPP => GA1"
"434","M00930","Menaquinone biosynthesis, futalosine pathway"
"435","M00931","Menaquinone biosynthesis, modified futalosine pathway"
"436","M00932","Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol"
"437","M00933","Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol"
"438","M00934","Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II"
"439","M00935","Methanofuran biosynthesis"
"440","M00936","Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin"
"441","M00937","Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1"
"442","M00938","Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
"443","M00939","Pyrimidine degradation, uracil => 3-hydroxypropanoate"
"444","M00940","Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin"
"445","M00941","Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein"
"446","M00942","Pterocarpan biosynthesis, daidzein => medicarpin"
"447","M00943","Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline"
"448","M00944","Morphine biosynthesis, (S)-reticuline => morphine"
"449","M00945","Sanguinarine biosynthesis, (S)-reticuline => sanguinarine"
"450","M00946","Noscapine biosynthesis, (S)-reticuline => noscapine"
"451","M00947","D-Arginine racemization, D-arginine => L-arginine"
"452","M00948","Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate"
"453","M00949","Staphylopine biosynthesis, L-histidine => staphylopine"
"454","M00950","Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin"
"455","M00951","Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin"
"456","M00952","Benzoxazinoid biosynthesis, indoleglycerol phosphate => DIMBOA-glucoside"
"457","M00953","Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid"
"458","M00956","Lysine degradation, bacteria, L-lysine => succinate"
"459","M00957","Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA"
"460","M00958","Adenine ribonucleotide degradation, AMP => Urate"
"461","M00959","Guanine ribonucleotide degradation, GMP => Urate"
"462","M00960","Lysine degradation, bacteria, L-lysine => D-lysine => succinate"
"463","M00961","Betacyanin biosynthesis, L-tyrosine => amaranthin"
"464","M00962","Psilocybin biosynthesis, tryptophan => psilocybin"
"465","M00963","Chanoclavine aldehyde biosynthesis, tryptophan => chanoclavine-I aldehyde"
"466","M00964","Fumigaclavine biosynthesis, chanoclavine-I aldehyde => fumigaclavine C"
"467","M00965","Vinblastine biosynthesis, geissoschizine => vinblastine"
"468","M00966","Equol biosynthesis, daidzein => equol"
"469","M00967","Flavone degradation, luteolin/apigenin => DHCA/phloretate"
"470","M00968","Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate"
"471","M00969","Fumagillin biosynthesis, farnesyl-PP => fumagillin"
"472","M00970","Proline degradation, proline => glutamate"
"473","M00971","QS-7 biosynthesis, 2,3-epoxysqualene => QS-7"
"474","M00972","Proline metabolism"
"475","M00973","Anammox, nitrite + ammonia => nitrogen"
"476","M00974","Betaine metabolism, animals, betaine => glycine"
"477","M00975","Betaine degradation, bacteria, betaine => pyruvate"
"478","M00976","C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone"
"479","M00977","C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone"
"480","M00978","Ornithine-ammonia cycle"
"481","M00979","Ajmaline biosynthesis, geissoschizine => ajmaline"
"482","M00980","Strychnine biosynthesis, geissoschizine => strychnine"
"483","M00981","Geissoschizine biosynthesis, tryptophan => geissoschizine"
"484","M00982","Methylcitrate cycle"
"485","M00983","GPI-anchor remodeling"
"486","M00984","Sulfur oxidation, tetrathionate intermediate (S4I) pathway, thiosulfate => sulfur + sulfate + thiosulfate"
"487","M00985","Sulfide oxidation, sulfide => sulfur"
"488","M00986","Sulfur reduction, sulfur => sulfide"
"489","M00987","Assimilatory sulfate reduction, plants, sulfate => H2S"
"490","M00988","PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine"
