genome	format	type	num_seq	sum_len	min_len	max_len	avg_len
MT_21Nov119-D04-L1_S174_L003_bin.3	FASTA	DNA	147	2,733,183	1,083	18,593.1	155,409
MT_21Nov119-D05-L1_S175_L003_bin.2	FASTA	DNA	19	3,353,644	2,453	176,507.6	703,949
MT_21Nov119-D07-L1_S218_L004_bin.10	FASTA	DNA	552	1,458,258	1,002	2,641.8	8,768
MT_21Nov119-D07-L1_S218_L004_bin.4	FASTA	DNA	194	3,629,208	1,604	18,707.3	108,988
MT_21Nov119-D07-L1_S218_L004_bin.8	FASTA	DNA	30	3,303,887	2,177	110,129.6	456,202
MT_21Nov119-E05-L1_S181_L003_bin.17	FASTA	DNA	241	1,002,408	1,023	4,159.4	26,188
MT_21Nov119-E05-L1_S181_L003_bin.3	FASTA	DNA	19	874,995	1,083	46,052.4	124,952
MT_21Nov119-E05-L1_S181_L003_bin.4	FASTA	DNA	22	4,189,151	1,273	190,416	519,971
MT_21Nov119-E05-L1_S181_L003_bin.9	FASTA	DNA	504	4,649,779	1,504	9,225.8	58,094
MT_21Nov119-E06-L1_S182_L003_bin.3	FASTA	DNA	801	3,368,431	1,001	4,205.3	24,906
MT_21Nov119-E07-L1_S224_L004_bin.18	FASTA	DNA	19	1,619,818	3,121	85,253.6	314,771
MT_21Nov119-E07-L1_S224_L004_bin.5	FASTA	DNA	492	3,245,939	1,5	6,597.4	50,186
MT_21Nov119-E08-L1_S225_L004_bin.2	FASTA	DNA	34	2,864,326	2,336	84,244.9	310,733
MT_21Nov119-F04-L1_S186_L003_bin.6	FASTA	DNA	675	1,972,889	1,011	2,922.8	17,486
MT_21Nov119-F04-L1_S186_L003_bin.9	FASTA	DNA	41	3,352,141	4,165	81,759.5	350,252
MT_21Nov119-G04-L1_S192_L003_bin.1	FASTA	DNA	23	6,237,905	5,519	271,213.3	675,779
MT_21Nov119-G04-L1_S192_L003_bin.5	FASTA	DNA	1,328	3,253,894	1,001	2,450.2	15,676
MT_21Nov119-H05-L1_S199_L003_bin.4	FASTA	DNA	1,324	4,270,400	1,001	3,225.4	15,411
MT_21Nov119-H05-L1_S199_L003_bin.5	FASTA	DNA	3	736,847	3,175	245,615.7	368,615
MT_21Nov119-H05-L1_S199_L003_bin.9	FASTA	DNA	28	3,663,353	2,428	130,834	641,556
MT_220900001374-A06_22Sep1374-A06-L1_S120_L002_bin.3	FASTA	DNA	14	4,681,341	21,857	334,381.5	705,082
MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3	FASTA	DNA	19	2,348,656	3,136	123,613.5	525,583
MT_220900001374-B05_22Sep1374-B05-L1_S10_L001_bin.1	FASTA	DNA	727	4,371,932	1,502	6,013.7	36,525
MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5	FASTA	DNA	17	4,783,810	6,372	281,400.6	820,436
MT_220900001374-B10_22Sep1374-B10-L1_S126_L002_bin.5	FASTA	DNA	34	2,374,941	5,728	69,851.2	291,21
MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2	FASTA	DNA	147	5,516,979	2,133	37,530.5	311,253
MT_220900001374-C06_22Sep1374-C06-L1_S127_L002_bin.1	FASTA	DNA	1,357	4,406,077	1,504	3,246.9	17,504
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.10	FASTA	DNA	58	5,044,183	2,822	86,968.7	305,912
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.6	FASTA	DNA	244	2,109,189	1,023	8,644.2	99,949
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.7	FASTA	DNA	110	3,961,125	1,531	36,010.2	271,38
MT_220900001374-D04_22Sep1374-D04-L1_S19_L001_bin.3	FASTA	DNA	237	4,612,673	1,448	19,462.8	140,977
MT_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5	FASTA	DNA	24	3,633,738	10,894	151,405.8	348,807
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.10	FASTA	DNA	482	6,002,384	1,009	12,453.1	72,842
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.14	FASTA	DNA	1,681	3,229,141	1	1,921	19,037
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.2	FASTA	DNA	395	4,779,093	1,602	12,099	61,708
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.7	FASTA	DNA	278	2,713,647	1,112	9,761.3	55,837
Pelomonas_AEP2-2	FASTA	DNA	90	6,287,283	324	69,858.7	584,844
Pseudomonas_C2_2	FASTA	DNA	7	4,412,688	442	630,384	1,458,982
Undibacterium_C1_1	FASTA	DNA	50	4,513,280	255	90,265.6	1,102,849
