Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MG_21Nov119-E07-L1_S224_L004_bin.5	o__Burkholderiales (UID4000)	193	427	214	49	377	1	0	0	0	89.61	0.16	0.00
MG_21Nov119-H08-L1_S241_L004_bin.1	o__Pseudomonadales (UID4488)	185	813	308	24	788	1	0	0	0	98.38	0.11	0.00
MG_220900001374-D09_22Sep1374-D09-L1_S133_L002_bin.2	o__Actinomycetales (UID1593)	69	400	198	126	272	2	0	0	0	70.19	0.67	50.00
MG_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5	o__Burkholderiales (UID4000)	193	427	214	0	425	2	0	0	0	100.00	0.70	50.00
MG_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.4	o__Burkholderiales (UID4000)	193	427	214	17	408	2	0	0	0	96.96	0.93	0.00
MT_21Nov119-A08-L1_S201_L004_bin.5	p__Bacteroidetes (UID2605)	350	316	210	3	310	3	0	0	0	98.81	0.87	0.00
MT_21Nov119-A09-L1_S202_L004_bin.2	p__Bacteroidetes (UID2605)	350	316	210	3	305	8	0	0	0	99.03	2.57	0.00
MT_21Nov119-B05-L1_S164_L003_bin.6	k__Bacteria (UID3187)	2258	182	112	3	178	1	0	0	0	97.32	0.89	0.00
MT_21Nov119-B08-L1_S207_L004_bin.2	o__Burkholderiales (UID4000)	193	427	214	2	425	0	0	0	0	99.42	0.00	0.00
MT_21Nov119-C02-L1_S167_L003_bin.5	c__Gammaproteobacteria (UID4202)	67	481	276	46	426	9	0	0	0	96.62	1.86	22.22
MT_21Nov119-D04-L1_S174_L003_bin.3	c__Gammaproteobacteria (UID4266)	1097	270	172	6	262	1	1	0	0	96.51	0.97	0.00
MT_21Nov119-D05-L1_S175_L003_bin.2	c__Betaproteobacteria (UID3888)	323	387	234	2	385	0	0	0	0	99.43	0.00	0.00
MT_21Nov119-D07-L1_S218_L004_bin.10	k__Bacteria (UID2495)	2993	147	91	49	98	0	0	0	0	73.49	0.00	0.00
MT_21Nov119-D07-L1_S218_L004_bin.4	p__Bacteroidetes (UID2591)	364	303	203	11	288	4	0	0	0	96.22	1.72	25.00
MT_21Nov119-D07-L1_S218_L004_bin.8	f__Rhodobacteraceae (UID3340)	84	568	330	1	567	0	0	0	0	99.70	0.00	0.00
MT_21Nov119-E05-L1_S181_L003_bin.17	k__Bacteria (UID2565)	2921	152	93	26	125	1	0	0	0	80.57	0.10	0.00
MT_21Nov119-E05-L1_S181_L003_bin.3	k__Bacteria (UID2495)	2993	147	91	11	136	0	0	0	0	89.01	0.00	0.00
MT_21Nov119-E05-L1_S181_L003_bin.4	o__Burkholderiales (UID4002)	107	574	251	0	568	4	2	0	0	100.00	0.71	0.00
MT_21Nov119-E05-L1_S181_L003_bin.9	o__Burkholderiales (UID4000)	193	427	214	76	343	8	0	0	0	88.51	1.54	25.00
MT_21Nov119-E06-L1_S182_L003_bin.3	f__Flavobacteriaceae (UID2817)	81	511	283	48	454	9	0	0	0	92.44	1.75	22.22
MT_21Nov119-E07-L1_S224_L004_bin.18	c__Gammaproteobacteria (UID4266)	1097	270	172	33	236	1	0	0	0	85.76	0.58	0.00
MT_21Nov119-E07-L1_S224_L004_bin.5	k__Bacteria (UID203)	5449	103	57	55	48	0	0	0	0	70.18	0.00	0.00
MT_21Nov119-E08-L1_S225_L004_bin.2	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.09	0.00
MT_21Nov119-F04-L1_S186_L003_bin.6	c__Gammaproteobacteria (UID4266)	1097	269	171	40	226	2	0	1	0	83.65	0.65	0.00
MT_21Nov119-F04-L1_S186_L003_bin.9	f__Rhodobacteraceae (UID3340)	84	568	330	7	558	3	0	0	0	99.20	0.53	66.67
MT_21Nov119-G04-L1_S192_L003_bin.1	o__Actinomycetales (UID1815)	120	572	265	1	569	2	0	0	0	99.94	0.75	0.00
MT_21Nov119-G04-L1_S192_L003_bin.5	p__Bacteroidetes (UID2605)	350	315	209	94	218	3	0	0	0	72.15	0.97	0.00
MT_21Nov119-H05-L1_S199_L003_bin.4	p__Bacteroidetes (UID2605)	350	315	209	71	241	3	0	0	0	77.55	1.44	0.00
MT_21Nov119-H05-L1_S199_L003_bin.5	k__Bacteria (UID2495)	2993	143	89	20	123	0	0	0	0	82.75	0.00	0.00
MT_21Nov119-H05-L1_S199_L003_bin.9	o__Burkholderiales (UID4000)	193	427	214	0	426	1	0	0	0	100.00	0.16	0.00
MT_220900001374-A06_22Sep1374-A06-L1_S120_L002_bin.3	k__Bacteria (UID2495)	2993	143	89	6	137	0	0	0	0	93.26	0.00	0.00
MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3	c__Gammaproteobacteria (UID4266)	1097	269	171	6	261	1	0	1	0	97.37	1.17	0.00
MT_220900001374-B05_22Sep1374-B05-L1_S10_L001_bin.1	c__Alphaproteobacteria (UID3305)	564	349	230	28	318	3	0	0	0	92.94	0.69	33.33
MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5	c__Gammaproteobacteria (UID4761)	52	693	297	5	685	3	0	0	0	98.99	0.36	0.00
MT_220900001374-B10_22Sep1374-B10-L1_S126_L002_bin.5	k__Bacteria (UID2982)	88	230	148	6	221	2	1	0	0	96.62	2.70	0.00
MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2	o__Pseudomonadales (UID4488)	185	812	307	3	807	2	0	0	0	99.80	0.12	0.00
MT_220900001374-C06_22Sep1374-C06-L1_S127_L002_bin.1	c__Alphaproteobacteria (UID3305)	564	348	229	63	282	3	0	0	0	81.71	0.67	66.67
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.10	k__Bacteria (UID2569)	434	277	185	0	276	1	0	0	0	100.00	0.54	0.00
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.6	o__Sphingomonadales (UID3310)	26	569	293	67	499	3	0	0	0	88.97	0.28	0.00
MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.7	f__Flavobacteriaceae (UID2817)	81	511	283	2	507	2	0	0	0	99.47	0.19	0.00
MT_220900001374-D04_22Sep1374-D04-L1_S19_L001_bin.3	o__Burkholderiales (UID4000)	193	427	214	4	422	1	0	0	0	98.44	0.47	0.00
MT_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5	f__Rhodobacteraceae (UID3340)	84	568	330	5	561	2	0	0	0	99.29	0.45	50.00
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.10	o__Burkholderiales (UID4002)	107	574	251	27	539	8	0	0	0	96.40	1.09	25.00
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.14	k__Bacteria (UID203)	5449	104	58	26	56	21	1	0	0	75.80	14.64	0.00
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.2	o__Rhizobiales (UID3654)	92	481	319	22	450	8	1	0	0	95.52	2.51	18.18
MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.7	f__Flavobacteriaceae (UID2817)	81	511	283	8	498	5	0	0	0	98.36	1.07	20.00
Pelomonas_AEP2-2	o__Burkholderiales (UID4000)	193	427	214	0	420	3	4	0	0	100.00	3.63	26.67
Pseudomonas_C2_2	o__Pseudomonadales (UID4488)	185	813	308	1	809	3	0	0	0	99.68	0.54	0.00
Undibacterium_C1_1	o__Burkholderiales (UID4002)	107	574	251	0	568	4	2	0	0	100.00	0.71	0.00
