file,absorbance,Condition,Microbe,Host,Experiment,Concentration
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1732,L-arginine,Pseudomonas,none,Exp3,16.87608622
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1634,L-arginine,Pseudomonas,none,Exp3,17.33628336
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1624,L-arginine,Pseudomonas,none,Exp3,17.38324225
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.163,L-arginine,Pseudomonas,none,Exp3,17.35506691
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1606,L-arginine,Pseudomonas,none,Exp3,17.46776825
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1639,L-arginine,Curvi+Pseudo,none,Exp3,17.31280391
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1616,L-arginine,Curvi+Pseudo,none,Exp3,17.42080936
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1608,L-arginine,Curvi+Pseudo,none,Exp3,17.45837647
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1649,L-arginine,Curvi+Pseudo,none,Exp3,17.26584502
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.1639,L-arginine,Curvi+Pseudo,none,Exp3,17.31280391
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5066,L-arginine,Control,none,Exp3,1.219991987
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5245,L-arginine,Control,none,Exp3,0.379427839
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5256,L-arginine,Control,none,Exp3,0.327773059
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5271,L-arginine,Control,none,Exp3,0.257334722
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5333,L-arginine,Control,none,Exp3,-0.033810401
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5109,Standard,Control,none,Exp4,5.971292572
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5102,Standard,Control,none,Exp4,6.004163795
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5019,Standard,Control,none,Exp4,6.39392259
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5001,Standard,Control,none,Exp4,6.478448594
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5031,Standard,Control,none,Exp4,6.337571921
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6375,H2O,Limnobacter,none,Exp4,0.026296979
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6304,H2O,Limnobacter,none,Exp4,0.359705105
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6282,H2O,Limnobacter,none,Exp4,0.463014665
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6342,H2O,Limnobacter,none,Exp4,0.181261319
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6337,H2O,Limnobacter,none,Exp4,0.204740764
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6108,H2O,Pseudomonas,none,Exp4,1.280099367
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6025,H2O,Pseudomonas,none,Exp4,1.669858162
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6236,H2O,Pseudomonas,none,Exp4,0.679025563
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6468,H2O,Pseudomonas,none,Exp4,-0.410420707
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6426,H2O,Pseudomonas,none,Exp4,-0.213193365
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6329,H2O,Limno+Pseudo,none,Exp4,0.242307877
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6218,H2O,Limno+Pseudo,none,Exp4,0.763551567
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5981,H2O,Limno+Pseudo,none,Exp4,1.876477282
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6303,H2O,Limno+Pseudo,none,Exp4,0.364400994
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6266,H2O,Limno+Pseudo,none,Exp4,0.53814889
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6521,H2O,Control,none,Exp4,-0.659302829
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6507,H2O,Control,none,Exp4,-0.593560381
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6439,H2O,Control,none,Exp4,-0.274239923
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6466,H2O,Control,none,Exp4,-0.401028929
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.597,H2O,Control,none,Exp4,1.928132062
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5809,NH3,Limnobacter,none,Exp4,2.684170206
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5771,NH3,Limnobacter,none,Exp4,2.862613992
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5709,NH3,Limnobacter,none,Exp4,3.153759115
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5682,NH3,Limnobacter,none,Exp4,3.280548121
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5457,NH3,Limnobacter,none,Exp4,4.337123167
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5813,NH3,Pseudomonas,none,Exp4,2.66538665
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5744,NH3,Pseudomonas,none,Exp4,2.989402997
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5706,NH3,Pseudomonas,none,Exp4,3.167846783
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5862,NH3,Pseudomonas,none,Exp4,2.435288084
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5856,NH3,Pseudomonas,none,Exp4,2.463463419
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.575,NH3,Limno+Pseudo,none,Exp4,2.961227662
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5743,NH3,Limno+Pseudo,none,Exp4,2.994098886
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5642,NH3,Limno+Pseudo,none,Exp4,3.468383685
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5755,NH3,Limno+Pseudo,none,Exp4,2.937748217
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5782,NH3,Limno+Pseudo,none,Exp4,2.810959211
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5501,NH3,Control,none,Exp4,4.130504047
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5702,NH3,Control,none,Exp4,3.186630339
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5788,NH3,Control,none,Exp4,2.782783877
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5792,NH3,Control,none,Exp4,2.764000321
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5692,NH3,Control,none,Exp4,3.23358923
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5951,L-arginine,Limnobacter,none,Exp4,2.017353955
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5883,L-arginine,Limnobacter,none,Exp4,2.336674413
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5563,L-arginine,Limnobacter,none,Exp4,3.839358923
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5923,L-arginine,Limnobacter,none,Exp4,2.148838849
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.5792,L-arginine,Limnobacter,none,Exp4,2.764000321
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.3257,L-arginine,Pseudomonas,none,Exp4,14.66807917
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.3277,L-arginine,Pseudomonas,none,Exp4,14.57416139
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.3261,L-arginine,Pseudomonas,none,Exp4,14.64929562
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.327,L-arginine,Pseudomonas,none,Exp4,14.60703261
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.3217,L-arginine,Pseudomonas,none,Exp4,14.85591474
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.2529,L-arginine,Limno+Pseudo,none,Exp4,18.08668643
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.2572,L-arginine,Limno+Pseudo,none,Exp4,17.8847632
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.2579,L-arginine,Limno+Pseudo,none,Exp4,17.85189198
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.2538,L-arginine,Limno+Pseudo,none,Exp4,18.04442343
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.2603,L-arginine,Limno+Pseudo,none,Exp4,17.73919064
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6187,L-arginine,Control,none,Exp4,0.909124129
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6379,L-arginine,Control,none,Exp4,0.007513423
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6358,L-arginine,Control,none,Exp4,0.106127094
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6466,L-arginine,Control,none,Exp4,-0.401028929
Ammonium measurement_20250519_160143 Auswertung Limnobacter,0.6467,L-arginine,Control,none,Exp4,-0.405724818
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5856,S-medium,Control,GF,Exp2,0.197227342
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.582,S-medium,Control,GF,Exp2,0.366279349
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5822,S-medium,Control,GF,Exp2,0.356887571
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5999,S-medium,Control,GF,Exp2,-0.474284798
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5872,S-medium,Control,GF,Exp2,0.122093116
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5801,S-medium,Pseudomonas,GF,Exp2,0.455501242
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5793,S-medium,Pseudomonas,GF,Exp2,0.493068355
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5879,S-medium,Pseudomonas,GF,Exp2,0.089221893
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5811,S-medium,Pseudomonas,GF,Exp2,0.408542351
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5798,S-medium,Pseudomonas,GF,Exp2,0.469588909
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5776,S-medium,Curvibacter,GF,Exp2,0.572898469
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.6,S-medium,Curvibacter,GF,Exp2,-0.478980688
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5877,S-medium,Curvibacter,GF,Exp2,0.098613671
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5825,S-medium,Curvibacter,GF,Exp2,0.342799904
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5705,S-medium,Curvibacter,GF,Exp2,0.906306595
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.59,S-medium,Curvi+Pseudo,GF,Exp2,-0.009391778
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5769,S-medium,Curvi+Pseudo,GF,Exp2,0.605769693
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5794,S-medium,Curvi+Pseudo,GF,Exp2,0.488372466
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5862,S-medium,Curvi+Pseudo,GF,Exp2,0.169052007
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.58,S-medium,Curvi+Pseudo,GF,Exp2,0.460197131
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5762,S-medium,Limnobacter,GF,Exp2,0.638640917
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5823,S-medium,Limnobacter,GF,Exp2,0.352191682
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5823,S-medium,Limnobacter,GF,Exp2,0.352191682
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5719,S-medium,Limnobacter,GF,Exp2,0.840564148
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5797,S-medium,Limnobacter,GF,Exp2,0.474284798
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5944,S-medium,Limno+Pseudo,GF,Exp2,-0.216010898
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.6126,S-medium,Limno+Pseudo,GF,Exp2,-1.070662713
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5747,S-medium,Limno+Pseudo,GF,Exp2,0.709079253
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5871,S-medium,Limno+Pseudo,GF,Exp2,0.126789006
Auswertung Smed messung 2 Ammonium measurement_20250524_170541,0.5735,S-medium,Limno+Pseudo,GF,Exp2,0.765429922
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5666,L-arginine,Control,GF,Exp2,1.08944627
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5698,L-arginine,Control,GF,Exp2,0.939177819
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.57,L-arginine,Control,GF,Exp2,0.929786041
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5778,L-arginine,Control,GF,Exp2,0.563506691
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5878,L-arginine,Control,GF,Exp2,0.093917782
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5708,L-arginine,Pseudomonas,GF,Exp2,0.892218928
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5777,L-arginine,Pseudomonas,GF,Exp2,0.56820258
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5652,L-arginine,Pseudomonas,GF,Exp2,1.155188717
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5625,L-arginine,Pseudomonas,GF,Exp2,1.281977723
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5622,L-arginine,Pseudomonas,GF,Exp2,1.29606539
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.6033,L-arginine,Curvibacter,GF,Exp2,-0.633945028
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5762,L-arginine,Curvibacter,GF,Exp2,0.638640917
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5629,L-arginine,Curvibacter,GF,Exp2,1.263194166
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5737,L-arginine,Curvibacter,GF,Exp2,0.756038144
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5697,L-arginine,Curvibacter,GF,Exp2,0.943873708
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5651,L-arginine,Curvi+Pseudo,GF,Exp2,1.159884606
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5694,L-arginine,Curvi+Pseudo,GF,Exp2,0.957961375
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5638,L-arginine,Curvi+Pseudo,GF,Exp2,1.220931164
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.58,L-arginine,Curvi+Pseudo,GF,Exp2,0.460197131
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5697,L-arginine,Curvi+Pseudo,GF,Exp2,0.943873708
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5774,L-arginine,Limnobacter,GF,Exp2,0.582290248
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5782,L-arginine,Limnobacter,GF,Exp2,0.544723135
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5839,L-arginine,Limnobacter,GF,Exp2,0.277057457
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5666,L-arginine,Limnobacter,GF,Exp2,1.08944627
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5935,L-arginine,Limnobacter,GF,Exp2,-0.173747896
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5727,L-arginine,Limno+Pseudo,GF,Exp2,0.802997035
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5762,L-arginine,Limno+Pseudo,GF,Exp2,0.638640917
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5752,L-arginine,Limno+Pseudo,GF,Exp2,0.685599808
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5721,L-arginine,Limno+Pseudo,GF,Exp2,0.83117237
Larg messung 2 Ammonium measurement (Modified)_20250524_170947,0.5602,L-arginine,Limno+Pseudo,GF,Exp2,1.389983172
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3876,NH3,Control,GF,Exp2,9.495087747
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4534,NH3,Control,GF,Exp2,6.405192724
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4239,NH3,Control,GF,Exp2,7.790480006
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4197,NH3,Control,GF,Exp2,7.987707348
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3816,NH3,Control,GF,Exp2,9.776841093
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.431,NH3,Pseudomonas,GF,Exp2,7.457071881
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3679,NH3,Pseudomonas,GF,Exp2,10.4201779
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3887,NH3,Pseudomonas,GF,Exp2,9.443432967
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3546,NH3,Pseudomonas,GF,Exp2,11.04473115
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3773,NH3,Pseudomonas,GF,Exp2,9.978764324
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4013,NH3,Curvibacter,GF,Exp2,8.851750942
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3983,NH3,Curvibacter,GF,Exp2,8.992627614
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4199,NH3,Curvibacter,GF,Exp2,7.97831557
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3685,NH3,Curvibacter,GF,Exp2,10.39200256
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3638,NH3,Curvibacter,GF,Exp2,10.61270935
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4296,NH3,Curvi+Pseudo,GF,Exp2,7.522814328
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.424,NH3,Curvi+Pseudo,GF,Exp2,7.785784117
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4584,NH3,Curvi+Pseudo,GF,Exp2,6.170398269
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4123,NH3,Curvi+Pseudo,GF,Exp2,8.335203141
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4308,NH3,Curvi+Pseudo,GF,Exp2,7.466463659
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.433,NH3,Limnobacter,GF,Exp2,7.363154099
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4399,NH3,Limnobacter,GF,Exp2,7.039137751
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4676,NH3,Limnobacter,GF,Exp2,5.738376472
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4442,NH3,Limnobacter,GF,Exp2,6.83721452
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4612,NH3,Limnobacter,GF,Exp2,6.038913374
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4469,NH3,Limno+Pseudo,GF,Exp2,6.710425515
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.479,NH3,Limno+Pseudo,GF,Exp2,5.203045116
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4735,NH3,Limno+Pseudo,GF,Exp2,5.461319016
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.4757,NH3,Limno+Pseudo,GF,Exp2,5.358009456
NH3 Messung 2 Ammonium measurement (Modified)_20250524_170804,0.3891,NH3,Limno+Pseudo,GF,Exp2,9.424649411
